n_score,n_perf,n_matched,match_rate_score,match_rate_perf,bias_ms,sigma_ms,sigma_duple_ms,sigma_offbeat_ms,frac_nonduple,asynchrony_sigma_ms,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_duple_1,rho_duple_2,rho_duple_3,rho_duple_4,rho_duple_5,rho_duple_6,rho_duple_7,rho_duple_8,path,composer
762,754,736,0.9658792650918635,0.9761273209549072,-0.00029166666237756544,41.402434908370616,35.874380329791514,49.197554993862454,0.052989130434782594,12.419426641022133,0.5730036075459047,0.21092192359680884,-0.09592122901264268,-0.19048541405546773,-0.1735441271448629,-0.143162450423978,0.02617535878980936,0.18315297191159544,0.4304742292535873,-0.18678941409164823,-0.4007519087676291,-0.27544900101686665,-0.06389152140959847,0.06458433580112037,0.1594357572934053,0.2031845536201976,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_846/Shi05M.mid,Bach
1441,1435,1416,0.9826509368494102,0.9867595818815331,-4.339708333334968,23.398921723495924,20.512169627039682,22.144152273200454,0.005649717514124242,10.981300103715341,0.07491142243593622,0.2247264222712789,0.16036399481179933,0.253596062888984,0.01115809246213923,0.12225216172532154,0.06125883291518982,0.0918524891185737,0.028135234911433316,0.2007705927876292,-0.06954228426411924,0.17510104809324517,-0.0965478551796408,0.06941594199834329,-0.08108622490668221,0.10417688013388063,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Denisova06M.mid,Bach
1441,1438,1414,0.981263011797363,0.9833101529902643,-1.8879999999930064,19.987660602572305,16.950977205940305,18.87379991582884,0.004950495049504955,11.838494677711958,0.1204968922298117,0.31816535748661057,0.08284571779985245,0.28208479312629703,0.017343632207682928,0.1891096565590797,0.06934253225912783,0.07869116773608328,0.01331732977221038,0.09561874006025504,-0.026196595537520816,0.12734943818825983,-0.037564348319157344,0.04177921559861545,0.04496518340021546,0.13581806720540113,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Lee01M.mid,Bach
1441,1429,1409,0.9777931991672449,0.9860041987403779,-3.254749999999973,27.82188676614137,25.0963002930379,28.524788770221306,0.0063875088715400485,17.076709058335286,0.10795343374338168,0.3474391207469123,0.10921862142624941,0.3080832685400599,0.10291621716438797,0.23228799913080014,0.06433202933048363,0.15704390962992418,-0.08097618505347504,0.08914519451633522,-0.0771288178479194,0.09178977856487967,-0.036975527359922176,0.06308897164820046,-0.03151096485598354,0.07608009341101786,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/LeeSH01M.mid,Bach
1441,1431,1407,0.9764052741151977,0.9832285115303984,-0.6509999999977367,21.053815984985498,19.087949564164187,22.747205387615097,0.00497512437810943,12.371794790582099,0.2913579128430293,0.3976142573522326,0.2546602261685344,0.3041862307294235,0.19991672367067428,0.17063973600733925,0.09675494684958744,0.08662066146943678,0.21288319226168137,0.18472372785204721,0.04454256731329733,0.14142230230209787,-0.020506699758044516,0.0632596463389061,-0.042398895739764256,0.036878641576995885,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Lin04M.mid,Bach
1441,1433,1418,0.9840388619014573,0.9895324494068388,-1.573291666666421,22.90109442024143,19.647159395351427,24.90048572889044,0.006346967559943573,10.778513077152436,0.43133809906491627,0.4323123775686224,0.20743321487102218,0.3315007899859838,0.14084927266974376,0.17265715941802098,0.0813275154858651,0.14466721513657518,0.3859927285627588,0.13534973568635447,-0.0072014254536176235,0.06829655116077905,-0.07516591935187389,-0.07314461918000834,-0.09163607129779075,-0.012310685205529394,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Lou01M.mid,Bach
1441,1438,1413,0.9805690492713394,0.9826147426981919,-2.603666666658455,20.441351702182082,19.046241001100157,20.80730004399582,0.004953998584571795,13.276650509362945,0.21974206657788606,0.29771724921371606,0.13517991823350353,0.1542980522420532,0.0472657779340283,0.049686023883778546,-0.02913830179324584,0.056577937041640027,0.07066242004726936,0.13656183919940043,-0.08103276557372516,0.09872539924592078,-0.064872101520724,0.04649300436610417,-0.06164617987003558,0.08533964967470463,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/MiyashitaM01M.mid,Bach
1441,1440,1409,0.9777931991672449,0.9784722222222222,-2.6042500000045266,27.060857656356347,24.000814331664717,24.370566874561497,0.005677785663591228,17.3455439968946,0.38913716892562605,0.3795150334901847,0.34051100690325925,0.3536302890427737,0.2243879286621081,0.21353397330072388,0.17601158009565274,0.13561025499400664,0.20519809099847636,0.21621681949899224,0.027773741163466394,0.12795541998455878,0.001671368637595117,0.03168866373043902,-0.06527662918080802,0.059789840169251804,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Mizumoto03M.mid,Bach
1441,1431,1418,0.9840388619014573,0.9909154437456325,-1.5618333333335954,20.405209946770817,16.646307918001828,21.61123264712084,0.006346967559943573,10.66557890066542,0.3511885963792141,0.5714756659036239,0.28343567468695596,0.3938203496675433,0.14117395321586348,0.1954715959955071,0.03304205402474086,0.07341891402055739,0.15743964168816807,0.16179887467635637,-0.015419423798355677,-0.0049982412298731765,-0.043142344549830305,0.08207013869016512,-0.07711724319600077,-0.005595772544793116,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/SunY01M.mid,Bach
1441,1430,1416,0.9826509368494102,0.9902097902097902,-1.952874999989973,21.026087463723822,18.91678291432631,21.35306702179787,0.004943502824858781,14.062090789626664,0.2306288354391754,0.4427035335594085,0.19156191076509327,0.2705627823130292,0.2160929686619063,0.14731703711420946,0.09107514975616489,0.20165713148107015,0.23963049465316902,0.24022104376935488,-0.05043325618222961,0.04812635654739643,-0.10548242438543456,0.037657385315614855,-0.06640002279257476,0.03931472339615997,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_848/Zhou01M.mid,Bach
